epoch	time	lr	train loss	train acc	testloss	test acc
0	35.0	0.1	2.52	11.1	2.29	12.2
1	35.4	0.1	2.26	13.7	2.2	17.6
2	35.7	0.1	2.12	20.6	2.07	23.4
3	36.1	0.1	2.04	23.7	2.01	25.9
4	35.8	0.1	1.99	25.5	1.97	26.9
5	36.0	0.1	1.95	27.5	1.9	29.2
6	36.0	0.1	1.9	29.9	1.86	31.6
7	35.9	0.1	1.87	31.1	1.81	33.4
8	36.1	0.1	1.83	32.8	1.8	33.8
9	36.0	0.1	1.81	33.4	1.75	36.5
10	36.0	0.1	1.78	34.7	1.72	37.6
11	35.9	0.1	1.76	35.6	1.71	38.0
12	36.1	0.1	1.74	36.6	1.76	37.7
13	35.9	0.1	1.73	37.2	1.77	37.5
14	36.1	0.1	1.71	37.6	1.68	39.6
15	36.0	0.1	1.69	38.6	1.67	39.7
16	36.1	0.1	1.68	39.1	1.69	39.4
17	36.2	0.1	1.67	39.5	1.63	41.6
18	36.0	0.1	1.66	40.0	1.65	40.4
19	35.8	0.1	1.65	40.3	1.7	39.6
20	36.2	0.1	1.64	40.7	1.64	41.2
21	35.9	0.1	1.63	41.1	1.66	40.6
22	36.2	0.1	1.62	41.5	1.62	41.5
23	35.9	0.1	1.63	41.1	1.67	40.5
24	36.0	0.1	1.61	42.0	1.69	40.3
25	36.1	0.1	1.61	42.0	1.56	44.4
26	35.9	0.1	1.6	42.4	1.59	43.7
27	36.0	0.1	1.6	42.4	1.6	42.8
28	36.0	0.1	1.59	43.0	1.76	40.4
29	36.1	0.1	1.59	42.9	1.58	43.1
30	36.1	0.010000000000000002	1.54	44.7	1.5	45.9
31	36.0	0.010000000000000002	1.52	45.2	1.5	46.8
32	36.0	0.010000000000000002	1.52	45.4	1.5	46.4
33	36.0	0.010000000000000002	1.52	45.6	1.5	46.0
34	36.0	0.010000000000000002	1.51	45.8	1.5	46.1
35	36.0	0.010000000000000002	1.51	46.0	1.5	46.4
36	36.1	0.010000000000000002	1.51	46.1	1.48	46.9
37	36.2	0.010000000000000002	1.5	45.9	1.49	46.8
38	36.1	0.010000000000000002	1.5	46.1	1.49	46.5
39	36.1	0.010000000000000002	1.5	46.1	1.48	46.9
40	36.0	0.010000000000000002	1.5	45.9	1.48	46.7
41	36.1	0.010000000000000002	1.5	46.1	1.48	46.1
42	35.9	0.010000000000000002	1.5	46.3	1.48	47.3
43	36.1	0.010000000000000002	1.5	46.1	1.48	47.6
44	36.0	0.010000000000000002	1.5	46.5	1.49	46.9
45	36.1	0.010000000000000002	1.49	46.3	1.49	46.7
46	36.1	0.010000000000000002	1.49	46.5	1.48	47.3
47	36.1	0.010000000000000002	1.49	46.3	1.48	47.0
48	36.1	0.010000000000000002	1.49	46.8	1.48	47.6
49	36.0	0.010000000000000002	1.49	46.6	1.47	47.4
50	36.0	0.010000000000000002	1.49	46.4	1.48	47.3
51	36.1	0.010000000000000002	1.49	46.4	1.47	47.7
52	36.0	0.010000000000000002	1.49	46.9	1.47	47.1
53	36.0	0.010000000000000002	1.48	46.9	1.47	47.0
54	36.4	0.010000000000000002	1.49	46.7	1.48	47.3
55	35.9	0.010000000000000002	1.48	47.1	1.46	47.2
56	36.0	0.010000000000000002	1.48	47.0	1.46	48.0
57	36.1	0.010000000000000002	1.48	46.9	1.47	47.6
58	35.9	0.010000000000000002	1.48	46.9	1.47	48.0
59	36.1	0.010000000000000002	1.48	46.8	1.47	47.0
60	36.0	0.0010000000000000002	1.47	47.8	1.46	48.1
61	36.1	0.0010000000000000002	1.47	47.2	1.46	47.3
62	35.9	0.0010000000000000002	1.46	47.4	1.46	47.8
63	36.0	0.0010000000000000002	1.47	47.2	1.46	47.7
64	36.1	0.0010000000000000002	1.47	47.4	1.46	47.7
65	36.1	0.0010000000000000002	1.46	47.5	1.45	48.3
66	36.0	0.0010000000000000002	1.46	47.7	1.47	47.1
67	36.0	0.0010000000000000002	1.47	47.1	1.45	48.1
68	36.1	0.0010000000000000002	1.47	47.5	1.45	48.5
69	36.0	0.0010000000000000002	1.46	47.5	1.46	47.5
70	36.0	0.0010000000000000002	1.46	47.6	1.45	48.2
71	36.5	0.0010000000000000002	1.46	47.5	1.46	47.5
72	35.9	0.0010000000000000002	1.46	47.6	1.46	48.0
73	36.1	0.0010000000000000002	1.46	47.6	1.46	47.7
74	36.0	0.0010000000000000002	1.47	47.3	1.46	48.6
75	36.0	0.0010000000000000002	1.46	47.7	1.45	47.5
76	36.1	0.0010000000000000002	1.47	47.4	1.45	48.4
77	36.0	0.0010000000000000002	1.46	47.8	1.45	48.0
78	36.0	0.0010000000000000002	1.47	47.3	1.45	48.5
79	36.1	0.0010000000000000002	1.46	47.6	1.45	47.9
80	36.1	0.0010000000000000002	1.46	47.7	1.46	47.8
81	36.0	0.0010000000000000002	1.46	47.7	1.45	47.9
82	36.0	0.0010000000000000002	1.46	47.4	1.45	48.2
83	36.0	0.0010000000000000002	1.46	48.0	1.46	47.7
84	36.0	0.0010000000000000002	1.46	47.7	1.45	47.7
85	36.1	0.0010000000000000002	1.46	47.8	1.45	48.0
86	36.0	0.0010000000000000002	1.46	47.4	1.46	47.7
87	36.1	0.0010000000000000002	1.46	47.4	1.45	48.4
88	36.0	0.0010000000000000002	1.46	47.6	1.45	47.9
89	36.0	0.0010000000000000002	1.46	47.5	1.45	47.6
